Type,Genus,Species,Fossil type,Dispersal unit,Isodiametric tetrad or anisodiametric tetrad,Aperture type,Amb shape (polar view shape),Exine ornamentation (surface),Tetrad diameter (D) (µm),Individual cell equatorial diameter (d) (µm),Individual cell polar axis (P) or Monad polar axis (P) (µm),Septum (septal exine) thickness (Se) (µm),Exine thickness (Ex) (µm),Tetrad diameter/Cell equatorial diameter (D/d),Cell P/E axis ratio (P/d),Ex/Se,Monad equatorial diameter (E),Monad P/E axis ratio (P/E),Cell big polar axis (µm),Equatorial shape,"Aperture length (2f for tetrad, L for monad) (µm)",Aperture width (W) (µm),2f/W or L/W,2f/D
Reference,Acrotriche,Acrotriche divaricata,NA,2,1,3,1,0,44.02,35.96,21.23,3.37,3.01,1.22,0.59,0.89,NA,NA,NA,5,26.07,0.81,32.19,0.59
Reference,Acrotriche,Acrotriche divaricata,NA,2,1,3,1,0,45.05,31.83,26.55,2.84,3.96,1.42,0.83,1.39,NA,NA,NA,5,29.07,0.66,44.05,0.65
Reference,Acrotriche,Acrotriche divaricata,NA,2,1,3,1,0,49.48,39.8,26.15,2.76,3.81,1.24,0.66,1.38,NA,NA,NA,5,32.43,0.69,47,0.66
Reference,Acrotriche,Acrotriche divaricata,NA,2,1,3,1,0,41.31,32.64,20.98,2.07,3.27,1.27,0.64,1.58,NA,NA,NA,5,19.89,0.66,30.14,0.48
Reference,Acrotriche,Acrotriche divaricata,NA,2,1,3,1,0,37.65,30.54,18.63,2.44,2.74,1.23,0.61,1.12,NA,NA,NA,5,23.76,0.63,37.71,0.63
Reference,Acrotriche,Acrotriche divaricata,NA,2,1,3,1,0,48.6,32.35,24.09,2.96,2.94,1.5,0.74,0.99,NA,NA,NA,5,30.03,1.91,15.72,0.62
Reference,Acrotriche,Acrotriche divaricata,NA,2,1,3,1,0,47.48,35.62,24.84,3,3.44,1.33,0.7,1.15,NA,NA,NA,5,30.63,1.31,23.38,0.65
Reference,Acrotriche,Acrotriche divaricata,NA,2,1,3,1,0,43.87,36.24,23.32,1.91,3.5,1.21,0.64,1.83,NA,NA,NA,5,25.39,0.66,38.47,0.58
Reference,Acrotriche,Acrotriche divaricata,NA,2,1,3,1,0,38.57,29.79,19.2,1.53,3.3,1.29,0.64,2.16,NA,NA,NA,5,25.68,0.68,37.76,0.67
Reference,Acrotriche,Acrotriche divaricata,NA,2,1,3,1,0,38.35,30.36,20.24,1.85,2.62,1.26,0.67,1.42,NA,NA,NA,5,19.29,0.63,30.62,0.5
Reference,Acrotriche,Acrotriche divaricata,NA,2,1,3,1,0,36.79,29,17.85,1.71,2.93,1.27,0.62,1.71,NA,NA,NA,5,23.38,0.68,34.38,0.64
Reference,Acrotriche,Acrotriche divaricata,NA,2,1,3,1,0,48.85,40.88,21.83,3.7,3.71,1.19,0.53,1,NA,NA,NA,5,34.36,0.92,37.35,0.7
Reference,Acrotriche,Acrotriche divaricata,NA,2,1,3,1,0,54.41,41.57,29.27,2.83,3.58,1.31,0.7,1.27,NA,NA,NA,5,28.42,0.77,36.91,0.52
Reference,Acrotriche,Acrotriche divaricata,NA,2,1,3,1,0,58.05,42.9,30.26,2.69,3.89,1.35,0.71,1.45,NA,NA,NA,5,29.87,0.92,32.47,0.51
Reference,Acrotriche,Acrotriche divaricata,NA,2,1,3,1,0,46.81,34.18,27.23,2.27,4.1,1.37,0.8,1.81,NA,NA,NA,5,26.44,0.72,36.72,0.56
Reference,Acrotriche,Acrotriche divaricata,NA,2,1,3,1,0,42.13,31.97,21.79,2,3.5,1.32,0.68,1.75,NA,NA,NA,5,23.66,0.73,32.41,0.56
Reference,Acrotriche,Acrotriche divaricata,NA,2,1,3,1,0,43.67,35.23,25.49,1.44,3.36,1.24,0.72,2.33,NA,NA,NA,5,27.4,0.71,38.59,0.63
Reference,Acrotriche,Acrotriche divaricata,NA,2,1,3,1,0,41.5,31.98,24.81,1.4,2.19,1.3,0.78,1.56,NA,NA,NA,5,20.88,1.38,15.13,0.5
Reference,Acrotriche,Acrotriche divaricata,NA,2,1,3,1,0,44.39,33.55,25.94,1.93,2.48,1.32,0.77,1.28,NA,NA,NA,5,30.1,1.15,26.17,0.68
Reference,Acrotriche,Acrotriche divaricata,NA,2,1,3,1,0,43.44,30.5,21.7,2,2.12,1.42,0.71,1.06,NA,NA,NA,5,23.25,0.86,27.03,0.54
Reference,Acrotriche,Acrotriche divaricata,NA,2,1,3,1,0,43.2,28.22,21.47,1.99,2.87,1.53,0.76,1.44,NA,NA,NA,5,21.9,0.92,23.8,0.51
Reference,Acrotriche,Acrotriche divaricata,NA,2,1,3,1,0,39.85,31.15,22.47,2.5,2.72,1.28,0.72,1.09,NA,NA,NA,5,22.4,0.7,32,0.56
Reference,Acrotriche,Acrotriche divaricata,NA,2,1,3,1,0,46.6,36.66,27.84,1.67,2.11,1.27,0.76,1.26,NA,NA,NA,5,27.52,0.87,31.63,0.59
Reference,Acrotriche,Acrotriche divaricata,NA,2,1,3,1,0,32.88,23.31,16.7,2.02,2.85,1.41,0.72,1.41,NA,NA,NA,5,19.48,0.62,31.42,0.59
Reference,Acrotriche,Acrotriche divaricata,NA,2,1,3,1,0,42.83,35.1,18.46,2.54,2.28,1.22,0.53,0.9,NA,NA,NA,5,28.57,0.96,29.76,0.67
Reference,Acrotriche,Acrotriche divaricata,NA,2,1,3,1,0,39.96,23.7,21.34,2.23,2.69,1.69,0.9,1.21,NA,NA,NA,5,26,1.19,21.85,0.65
Reference,Acrotriche,Acrotriche divaricata,NA,2,1,3,1,0,33.38,27.74,17.55,2.79,2.09,1.2,0.63,0.75,NA,NA,NA,5,23.1,0.6,38.5,0.69
Reference,Acrotriche,Acrotriche divaricata,NA,2,1,3,1,0,30.65,23.55,16.42,1.72,2.99,1.3,0.7,1.74,NA,NA,NA,5,22.51,0.71,31.7,0.73
Reference,Acrotriche,Acrotriche divaricata,NA,2,1,3,1,0,41.86,34.71,25.76,1.34,3.07,1.21,0.74,2.29,NA,NA,NA,5,21.98,0.92,23.89,0.53
Reference,Acrotriche,Acrotriche divaricata,NA,2,1,3,1,0,44.78,34.79,27.24,2.47,2.79,1.29,0.78,1.13,NA,NA,NA,5,25.05,1.79,13.99,0.56
Reference,Astroloma,Astroloma humifusum,NA,1,NA,6,4,5,NA,NA,52.63,NA,3.65,NA,NA,NA,50.41,1.04,NA,6,NA,NA,NA,NA
